archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	ddd-01	66	TP	SearchWithContextResult is a mutable identity-free result carrier
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	ddd-01	94	TP	RagFusionSubQueryInfo is a mutable identity-free data carrier
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	ddd-01	107	TP	ExplainPipelineResult is a mutable identity-free result carrier
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	436	TP	path.resolve() filesystem call inside async ingest_file
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	450	TP	os.path.getsize blocking call inside async ingest_file
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	504	TP	path.stat() blocking call inside async ingest_file
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	908	TP	path.glob iteration blocks event loop inside async ingest_directory
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	909	TP	is_symlink stat inside async ingest_directory
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	911	TP	is_file stat inside async ingest_directory
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-06	3374	TP	Path.resolve() filesystem call inside async delete_by_source_path
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	176	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	294	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	1047	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	1065	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	1159	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	1966	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	2039	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	2678	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	2770	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3205	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3215	TP	type: ignore suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3565	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3574	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3606	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3607	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3608	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-07	3609	TP	noqa PLC0415 suppression comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-11	594	TP	datetime.now drives the TTL/expiry decision
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-11	998	TP	datetime.now written into stored last_described record
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-11	1005	TP	datetime.now written into stored last_indexed record
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-11	3502	TP	datetime.now written into stored CollectionMeta record
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-11	3538	TP	datetime.now written into stored CollectionMeta record
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	1242	FP	Internal invariant guaranteed by upstream 422 guard, not input validation
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	1336	FP	Internal invariant guaranteed by upstream 422 guard
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2131	FP	Internal invariant guaranteed by upstream 422 guard
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2255	FP	Internal invariant guaranteed by upstream 422 guard
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2327	FP	Internal invariant, belt-and-suspenders per comment
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2407	FP	Internal invariant guaranteed by upstream 422 guard
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2839	FP	Internal invariant, comment calls it belt-and-suspenders
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2925	FP	Internal invariant guaranteed by upstream 422 guard
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	safety-13	2968	FP	Internal invariant guaranteed by upstream 422 guard
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-01	1	TP	File is 3635 lines, far over the 1000-line limit
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	313	TP	__init__ takes ~20 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	421	TP	ingest_file takes 11 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	888	TP	ingest_directory takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	1019	TP	search takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	1226	TP	_search_graph_mode takes 6 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	1313	TP	_search_ppr_mode takes 5 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	1459	TP	_search_local_mode takes 4 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	1683	TP	_search_standard takes 8 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	1740	TP	explain takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	2107	TP	_explain_naive_graph_candidates takes 5 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	2241	TP	_explain_ppr_candidates takes 4 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	2312	TP	_explain_merge_and_rank takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	2378	TP	_explain_community_candidates takes 5 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	2564	TP	_explain_standard takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	2624	TP	search_many takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	3202	TP	_fanout_merge_acl takes 7 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	3289	TP	search_with_context takes many parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	3365	TP	delete_by_source_path takes 4 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	3417	TP	list_documents takes 4 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-02	3436	TP	recompute_collection_meta takes 4 parameters
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	425	TP	rebuild_fts boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	894	TP	force_regenerate_description boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	902	TP	rebuild_fts boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	1028	TP	rag_fusion boolean flag selects search behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	1692	FP	rag_fusion_attempted is a pass-through reporting flag, no branching
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	1747	TP	rerank boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	1751	TP	rag_fusion boolean flag selects behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	2319	TP	rerank boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	2570	TP	rerank boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	2574	FP	rag_fusion_attempted is a pass-through reporting flag, no branching
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	2630	TP	rag_fusion boolean flag selects behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	3299	TP	rag_fusion boolean flag selects behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	3371	TP	skip_fts_optimize boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-03	3441	TP	force boolean flag branches behavior
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-08	3414	FP	Optional return is legitimate absence for a not-found getter
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-08	3423	FP	str|None is an optional pagination cursor, legitimate absence
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	297	TP	Bare except Exception swallows yaml parse failure, returns default
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	409	TP	Bare except Exception logs and continues
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	414	TP	Bare except Exception logs and continues
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	542	TP	Bare except Exception logs and degrades to empty lang
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	656	TP	Bare except Exception logs and skips graph extraction
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	711	TP	Bare except Exception catches all, should narrow the type
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	766	TP	Bare except Exception logs and degrades graph write
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	833	TP	Bare except Exception logs and degrades defref write
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	852	TP	Bare except Exception swallows callback failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	872	TP	Bare except Exception swallows callback failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	970	TP	Bare except Exception catches all, should narrow the type
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1103	TP	Bare except Exception treats any failure as fusion failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1123	TP	Bare except Exception treats any failure as fusion failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1358	TP	Bare except Exception catches all around PPR walk
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1509	TP	Bare except Exception around graph store call, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1530	TP	Bare except Exception around graph store call, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1550	TP	Bare except Exception around graph store call, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	1985	TP	Bare except Exception treats any failure as fusion failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2004	TP	Bare except Exception treats any failure as fusion failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2148	TP	Bare except Exception logs and returns empty
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2164	TP	Bare except Exception logs and degrades to empty edges
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2174	TP	Bare except Exception logs and returns empty
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2268	TP	Bare except Exception logs and returns empty
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2298	TP	Bare except Exception around node lookup, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2427	TP	Bare except Exception logs and returns empty
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2445	TP	Bare except Exception logs and returns empty
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2461	TP	Bare except Exception logs and returns empty
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2697	TP	Bare except Exception treats any failure as fusion failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	2713	TP	Bare except Exception treats any failure as fusion failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	3006	TP	Bare except Exception around graph store call, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	3020	TP	Bare except Exception around graph store call, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	3039	TP	Bare except Exception around graph store call, should narrow
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	3388	TP	Bare except Exception swallows graph cleanup failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	smells-12	3398	TP	Bare except Exception swallows graph cleanup failure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-06	78	FP	Exception context attribute, exceptions are data holders
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-06	90	FP	Exception context attribute, exceptions are data holders
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-06	137	FP	Exception context attribute, exceptions are data holders
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-06	138	FP	Exception context attribute, exceptions are data holders
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-06	146	FP	Exception context attribute, exceptions are data holders
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-06	336	TP	Public mutable self.store on a service class while siblings are private
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-07	1031	TP	graph_mode typed as bare str despite a 4-value Literal used elsewhere
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-07	1228	TP	graph_mode typed as bare str despite a 4-value Literal
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-07	2499	FP	entity_id is a transient local variable, not a domain-type boundary
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-07	2634	TP	graph_mode typed as bare str despite a 4-value Literal
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-07	3357	FP	doc_id/collection/namespace are boundary identifier strings to the store
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-07	3382	FP	doc_id/collection/namespace are boundary identifier strings
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-10	517	FP	Content-type strategy selection of an enricher, not injected infrastructure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-10	522	FP	Content-type strategy selection of an enricher, not injected infrastructure
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	solid-15	3161	TP	if/elif chain dispatches search behavior on graph_mode string
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	tests-01	53	FP	Extensive pipeline test suite already exists (tests/pipeline, test_pipeline_*)
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-09	679	FP	Two top-level operands; inner or is a fallback default
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-09	1479	FP	Two top-level operands; inner or is a fallback default
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-09	1908	FP	Two top-level operands; third or is nested in any() generator
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-09	591	FP	Two top-level operands; third or is nested in any() generator
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-09	614	FP	Two top-level operands; third or is nested in any() generator
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-09	1299	TP	Three real operands joined in the if condition
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	578	TP	_row_to_meta has well over 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	794	TP	migrate_per_collection_model exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	1315	TP	update_collection_meta exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	1589	TP	_do_update_meta_on_add exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	2040	TP	reindex_metadata exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	2179	TP	hybrid_search exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	2457	TP	list_documents exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-16	3083	TP	_hybrid_search_with_trace exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	clarity-17	3083	TP	Function spans 154 lines with extractable vector/fts/fuse stages
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	ddd-01	34	FP	ReindexResult is an accumulator filled incrementally during a run
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	ddd-01	45	TP	ChunkIngestResult is an identity-free result carrier; should be frozen
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-06	338	FP	mkdir runs in a sync nested def via asyncio.to_thread, not on the loop
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-06	2438	FP	Match is inside a docstring, not an actual call
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	279	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	301	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	336	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	404	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	432	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	579	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	888	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	910	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	948	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	969	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	990	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	1017	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	1422	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	1601	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	1747	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	1748	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	1973	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	2064	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	2126	TP	Inline noqa BLE001 suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	2132	TP	Inline noqa BLE001 suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	2287	TP	Inline type ignore suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	3033	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	3060	TP	Inline noqa linter suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-07	3224	TP	Inline type ignore suppression
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	367	TP	monotonic drives the ping TTL cache freshness decision
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	373	TP	monotonic timestamp stored to drive TTL cache decision
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	378	TP	monotonic timestamp stored to drive TTL cache decision
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	1758	TP	now written into stored last_indexed record field
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	2030	TP	random.shuffle sets observable output order
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	2602	TP	now drives the TTL expiry query results
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	2701	TP	now drives the expiry delete decision
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-11	2755	TP	now drives the expired-chunk count
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	165	FP	Values escaped via _sql_quote_str; col is a fixed identifier
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	703	FP	Values escaped via _sql_quote_str; LanceDB has no bind params
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	842	FP	Values escaped via _sql_quote_str; LanceDB has no bind params
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	1403	FP	Values escaped via _sql_quote_str; rest is literal SQL
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	1570	FP	Values escaped via _sql_quote_str; rest is literal SQL
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2608	FP	Program-generated ISO value escaped via _sql_quote_str
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2609	FP	Program-generated ISO value escaped via _sql_quote_str
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2621	FP	Composed from already-escaped predicates
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2622	FP	Cursor value escaped via _sql_quote_str
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2623	FP	Cursor value escaped via _sql_quote_str
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2624	FP	Cursor value escaped via _sql_quote_str
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/store.py	safety-15	2702	FP	Program-generated ISO value escaped via _sql_quote_str
